GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
100625A,0.33,0.2272727272727273,S,,Swift,,,,,0.452,Elliptical,SF,2.63,,6.77,4.897788193684462,3.8262688884468554,84.22730561969009,SED,5.1286138399136583e-11,4.006595385611693e-11,9.259510825566743e-10,0.2951209226666385,0.0861913095812346,0.1619672669482365,SED,3981071705.53497,1350803713.639588,6490213774.974016,"Fong 2022, Jeong 2024, Li 2016, Nugent 2022, Fong 2013"
100724A,1.4,0.6116207951070337,L,,Swift,1.0546297769987318,2.919240963003701,2.054423608600469,1.9480045542113864,1.289,,,,,,3.2,1.4,5.1,H alpha,,,,0.3235936569296282,0.0665540786527418,0.0837866208744844,E/KK04,,,,Li 2016
100728B,12.1,3.895685769478429,L,,Swift,1.3723980959198518,6.987468033404429,3.9047210400192216,2.845181038670909,2.106,,,,,,14.5,8.0,60.6,H alpha,8.153949215260061e-09,,,,,,,1778279410.0389228,,,"Li 2016, Perley 2016"
100814A,174.5,71.53984913086258,L,,Swift,1.462379451923995,8.6451002226185,4.567725505173902,3.123488571426743,1.4392,,,,,,3.2,0.7,2.9,H alpha,9.66384550528646e-10,,,,,,,3311311214.8259077,,,"Li 2016, Perley 2016"
100816A,2.05,1.1357340720221605,S,,Swift,1.7838575356699762,16.919601092484292,7.495663327377596,4.201940557188271,0.805,,SF,,,,10.0,9.02276277904419,83.3254300796991,SED,4.2657951880159337e-10,3.9903723176821164e-10,3.938578803600072e-09,1.1481536214968828,0.389576046467699,0.5114332859406778,SED,23442288153.19918,5245279567.099354,39653446294.81999,"Jeong 2024, Li 2016"
101219B,34.0,21.90933402068499,L,SN,Swift,1.1753840850080977,4.17330293114025,2.671835704508407,2.2731596748564105,0.55185,,SF,5.48,,6.65,7.762471166286917,6.587573611347388,40.100538065976934,SED,2.344228815319918e-09,2.149244355344113e-09,2.2202860341530317e-08,1.4791083881682074,0.0987241235653226,0.069708230744274,SED,3311311214.8259077,2081042444.013527,5200069167.197851,"Li 2016, SNTABLE"
101224A,0.2,0.1375515818431912,S,,Swift,,,,,0.454,,SF,12.75,,13.51,1.023292992280754,0.6342478472864734,3.1454008424225997,SED,6.91830970918936e-10,3.4509412046640527e-10,3.198620479023868e-09,0.1584893192461113,0.043673957096423,0.1577384467707266,SED,1412537544.6227555,599707028.4586561,582724770.3461273,"Fong 2022, Jeong 2024, Li 2016, Nugent 2022"
110205A,257.0,79.81366459627328,L,,Swift,1.2553939520473565,5.191707718371949,3.1374740381295267,2.499194800972861,2.22,,,,,,,,,,,,,0.1513561248436208,,,A/S,5248074602.497734,,,"Li 2016, Perley 2016"
110402A,6.256,3.374325782092772,S-EE,,Swift,1.353817403494627,6.676518112005264,3.775897524559554,2.7890744459428416,0.854,,SF,,,,1.0471285480508996,0.852144088075095,19.845832760489497,SED,3.801893963205613e-10,2.86863966240862e-10,1.7816819189779266e-08,,,,SED,2754228703.3381634,2046282918.9540265,9268415642.835968,Jeong 2024
110709B,55.6,17.993527508090615,L,,Swift,1.5271792577468282,10.001380128804836,5.08569105967424,3.330120569590222,2.09,,,0.564,,2.737,1.1,,,UV,6.940530789282138e-10,,,,,,,1584893192.4611108,,,"Blanchard 2016, Li 2016, Perley 2016, Schneider 2022"
110731A,38.8,10.13054830287206,L,,Swift,1.803682238589563,17.56911835720587,7.706906366051033,4.272873680941523,2.83,,,1.423,,0.082,,,,,,,,,,,,,,,"Blanchard 2016, Li 2016"
110808A,48.0,20.434227330779052,L,,Swift,0.9296507673396736,1.932547046178931,1.51743453089729,1.6322629789675132,1.349,,,,,,8.3,3.6,11.3,H alpha,,,,0.1737800828749375,0.0714507836468621,0.1810333063586379,E,,,,Li 2016
